id_projet,nom_projet,description,publier
1,Optimize revolutionary models,Juge surveiller colline chance baisser.,False
2,Architect intuitive portals,Expression claire groupe large souvenir colon peine.,True
3,Deliver visionary mindshare,Éviter coup signe aucun vaste article.,False
4,,,
5,Brand back-end synergies,Coin souhaiter sac marché mine.,False
6,Matrix plug-and-play architectures,Nez prouver colline poser rappeler.,True
7,Architect compelling infrastructures,Hier représenter terre le âge étoile exister tour.,True
8,Enhance front-end mindshare,Enfin pied jour soir.,False
9,Incubate user-centric users,Assurer imposer soleil humain plein.,True
10,Evolve out-of-the-box architectures,Bientôt anglais dimanche jouer petit chaleur point.,True
11,Streamline revolutionary synergies,Trésor politique tout.,True
12,Transition innovative e-business,Lire lèvre confier partout poids coûter devoir saluer.,True
13,Enhance global relationships,Semblable public manquer droite signe pencher.,False
14,Engage next-generation e-business,Soin prison danser précis interroger.,True
15,Deliver interactive web services,Billet ne apparence dent.,True
16,Leverage efficient e-commerce,Nord bouche reconnaître si toute même.,False
17,Expedite dot-com models,Du contraire instant causer peuple réussir loi droit.,True
18,Innovate strategic e-business,Souvenir faim de unique mien absolu lutter.,True
19,Envisioneer strategic roi,Nom penser rayon l'un courage jambe même.,False
20,Engage collaborative info-mediaries,Penser agiter fidèle retirer affirmer passion cheval.,False
21,Morph 24/365 technologies,Ruine espérer ventre officier lumière sac violent.,False
22,Morph user-centric bandwidth,Arriver étage puis secrétaire.,False
23,Architect proactive models,Devant haut empêcher revenir sorte preuve traverser.,True
24,Target wireless mindshare,Révolution effacer science silencieux école car.,True
25,Engage b2b networks,Dernier coûter voler effort notre joue.,False
26,Streamline out-of-the-box e-business,Fixe public enfin demi voler accent poursuivre.,False
27,Enhance plug-and-play communities,Propre assister très lumière plein objet simplement.,False
28,Grow holistic niches,Lisser fou chemise peur.,False
29,Aggregate frictionless interfaces,Terreur si or action choisir si arriver leur.,True
30,Reinvent cross-platform interfaces,Fort rire répondre courant cri serrer.,False
31,Mesh cutting-edge supply-chains,Jardin quoi chez maître rouler appartenir.,False
32,Incubate e-business paradigms,Bien droite voler boire.,True
33,Reinvent efficient metrics,An crainte apercevoir robe.,True
34,Disintermediate impactful metrics,Visage te remonter.,True
35,Enable proactive models,Long mêler eau veille port mien.,False
36,Incubate one-to-one roi,Peser naître dégager fatiguer raconter président droit.,False
37,Whiteboard b2b e-commerce,Caresser construire faute heureux.,False
38,Deploy web-enabled roi,Lèvre lutte rejeter complètement instinct affirmer acte.,True
39,Mesh seamless info-mediaries,Scène accorder montrer printemps écrire souffrir.,False
40,Unleash holistic relationships,Maintenant de semblable officier éteindre considérer.,False
41,Embrace rich paradigms,Exécuter tard mille tôt blanc vol étranger.,True
42,Engineer customized portals,Vieillard blanc part voie mourir au exposer.,True
43,Matrix collaborative paradigms,Désespoir travers crier considérer premier deux cesse.,False
44,Mesh innovative partnerships,Blond prévenir falloir train nul toute.,True
45,Enable dot-com interfaces,Également haut agiter toile nombre abandonner tout.,True
46,Engage global relationships,Parvenir conscience chambre bande.,False
47,Grow viral e-tailers,Difficile terrain chose vide.,True
48,Grow leading-edge niches,Falloir personnage attention sonner cause jouer.,True
49,Reinvent innovative portals,Confier intérieur interrompre mal général agiter.,False
50,Exploit intuitive applications,Poser joie bord rose.,True
51,Envisioneer impactful portals,Discuter bête moyen mari double raison fruit sens.,False
52,Exploit holistic partnerships,Succès causer endroit fois pousser.,True
53,Embrace killer synergies,Pas suffire fruit amener.,True
54,Whiteboard bleeding-edge systems,Signifier sujet ciel inspirer ministre.,False
55,Whiteboard ubiquitous architectures,Claire toit perdre rocher satisfaire.,True
56,Repurpose dynamic architectures,Usage hiver précipiter quartier avoir noire cour.,False
57,Mesh innovative synergies,Président propos midi cesse intérieur rideau âgé.,False
58,Enable dynamic portals,Article vraiment cerveau du.,True
59,Syndicate end-to-end web services,Vendre perdu servir.,False
60,Enable out-of-the-box e-tailers,Grâce action comme liberté yeux.,False
61,Reinvent transparent niches,Inventer passion inspirer grain public rond.,False
62,Transition turn-key communities,Premier parfaitement proposer.,True
63,Extend best-of-breed mindshare,Étendre pensée pendant construire décider.,True
64,Mesh synergistic bandwidth,Quitter croix vieillard nombreux vieux.,True
65,Re-intermediate 24/7 e-tailers,Chance amour escalier présent police enfin intérêt étranger.,True
66,Target magnetic infrastructures,Prouver dès tard aimer sentier naturel ici contenir.,True
67,Drive sticky portals,Malgré affaire poésie craindre oh.,False
68,Incubate enterprise synergies,Premier endormir soin fait.,False
69,Exploit out-of-the-box networks,Poitrine profondément sens.,True
70,Evolve distributed applications,Faible partager jambe madame.,True
71,Seize ubiquitous e-business,Chaque certain claire dos.,False
72,Target 24/365 infrastructures,Poser naissance lever appartenir.,True
73,Utilize real-time models,Suffire chute cri décider.,True
74,Leverage magnetic portals,Nouveau pourquoi offrir portier source commencer.,True
75,Productize collaborative applications,Trace anglais fleur ouvert.,False
76,Synergize intuitive networks,Ferme rose te terre.,False
77,Embrace real-time web-readiness,Rouge preuve gouvernement pas sommeil tromper.,False
78,Cultivate dot-com technologies,Reposer bruit autrefois rôle inviter occasion angoisse.,True
79,Re-intermediate plug-and-play interfaces,Rue fermer changer respirer lequel meilleur quitter.,False
80,Iterate frictionless content,Race absence leur désigner type toit.,True
81,Scale best-of-breed e-markets,Dernier parcourir faire cent horizon.,True
82,Synthesize magnetic partnerships,Enfin sentiment tout sérieux naître.,True
83,Repurpose one-to-one roi,Hôtel âme durant besoin.,False
84,Aggregate world-class paradigms,Principe bureau dominer animer travers doigt.,True
85,Transform compelling e-tailers,Interroger prononcer plaisir geste.,False
86,Generate rich mindshare,Meilleur surveiller salle plaindre agent esprit.,True
87,Re-intermediate 24/7 vortals,Condamner livre beau palais riche.,False
88,Maximize value-added web-readiness,Haut conclure vent morceau attention société.,False
89,Syndicate innovative bandwidth,Enfermer honneur vingt angoisse.,True
90,Architect vertical architectures,Rue mieux croix tenter autorité aucun marche.,True
91,Incubate extensible convergence,Coûter puisque allumer tromper exposer digne vingt embrasser.,False
92,Whiteboard killer eyeballs,Bas cinq foule désigner magnifique.,False
93,Visualize extensible web-readiness,Fixe supporter nécessaire peau raison.,True
94,Deliver collaborative applications,Armée paysan beau espoir essayer trésor.,False
95,Transition viral vortals,Mensonge essuyer promener peu.,False
96,Architect leading-edge convergence,Prix répondre écrire quinze.,False
97,Implement dot-com niches,Barbe confondre pont guerre prochain.,False
98,Enhance killer interfaces,Après présence remettre peuple ramasser général.,True
99,Iterate b2c eyeballs,Coûter meilleur prochain million chez peine politique.,False
100,Expedite best-of-breed channels,Note art compte.,True
101,Scale innovative architectures,Vaste puissance environ système.,True
102,Re-contextualize compelling solutions,Queue étrange muet position.,True
103,Empower collaborative technologies,Sable voyager relever.,False
104,Incentivize best-of-breed supply-chains,Même portier médecin dos parce que comme âme poésie.,True
105,Deliver plug-and-play channels,Conscience certes arriver vol tenter.,False
106,Revolutionize next-generation infrastructures,Amour cheval tourner écraser.,False
107,Transition cutting-edge relationships,Mine rien bout avant autorité déclarer.,False
108,Disintermediate front-end paradigms,Préférer joue trace.,True
109,Leverage cutting-edge deliverables,Ouvert aller claire pied cent étranger.,False
110,Target customized portals,Peuple rapporter désirer entraîner mille appartement garde lever.,False
111,Architect dot-com relationships,Donc confondre moyen quelque art gris.,True
112,Scale world-class initiatives,Sourd retrouver sens paysan prix.,False
113,Morph bricks-and-clicks mindshare,Avec goût part que aventure auprès foi.,False
114,E-enable granular portals,Partager produire entier secret silencieux.,True
115,Envisioneer one-to-one content,Départ ressembler comment façon puis monter.,True
116,Envisioneer leading-edge synergies,Image apercevoir eau ministre aide jamais son été.,True
117,Grow clicks-and-mortar methodologies,Étude son surveiller tel jour deux.,False
118,Matrix one-to-one solutions,Quelqu'Un soleil emporter.,True
119,Facilitate rich paradigms,Plaisir loup prêter peser veille bon renoncer.,False
120,Engage e-business mindshare,Peu ton répandre malade bien.,True
121,Visualize frictionless networks,Là gauche jeter marché accorder énergie.,True
122,Empower customized initiatives,Danger hier de vue.,False
123,Matrix clicks-and-mortar experiences,Risquer milieu inspirer riche dès naturellement page.,False
124,Implement b2b solutions,Écarter seconde par rouge monter.,False
125,Iterate holistic solutions,Liberté objet avant éclairer sein rapidement.,False
126,Disintermediate integrated applications,Résistance inventer sou oeuvre révéler visible.,False
127,Orchestrate rich e-tailers,Cesse hésiter disparaître terme.,True
128,Innovate front-end communities,Pourquoi aucun aucun bouche tantôt.,False
129,Revolutionize efficient experiences,Surtout carte vue haut attacher paupière.,False
130,Architect sticky technologies,Inquiéter passer forme attitude premier obéir.,True
131,Leverage cross-platform bandwidth,Verre rendre que obliger écouter pendant maladie.,False
132,Architect value-added e-services,Entier colère avouer tirer quand hôtel.,True
133,Strategize front-end paradigms,Étouffer doucement dessus attitude an gagner.,False
134,Repurpose extensible infrastructures,Bord salle fumée préférer passer leur.,True
135,Maximize robust interfaces,Queue auquel ressembler cependant.,True
136,Morph turn-key interfaces,Sortir engager cependant prêter théâtre étranger souffrir.,False
137,Leverage wireless bandwidth,Compagnie musique trembler journée risquer.,True
138,Synthesize revolutionary methodologies,Marché condition presser enfance prêt souvenir.,False
139,Deliver bricks-and-clicks convergence,Soldat intérieur arbre possible poésie attacher étendue.,False
140,Streamline real-time networks,Drôle ça jaune intéresser.,True
141,Aggregate visionary methodologies,Mal étrange politique genou nuage impression action produire.,True
142,Maximize wireless content,Père lentement quand fruit résister.,True
143,Cultivate collaborative roi,Effacer inquiéter face blond flot.,True
144,Empower extensible e-services,Début direction palais seconde éloigner.,True
145,Revolutionize seamless initiatives,Nommer doux établir renoncer.,False
146,Benchmark back-end web services,Quelque tête entrer roi riche bataille.,False
147,Scale magnetic interfaces,Bois succès accuser devoir lequel fonder heure.,True
148,Utilize seamless roi,Un extraordinaire composer gens encore roi plaire.,False
149,Drive synergistic action-items,Vif lire croiser petit.,True
150,Synergize bricks-and-clicks action-items,Entendre bruit étranger arracher accord façon.,True
151,Transform best-of-breed architectures,Reste poésie également autour.,False
152,Seize wireless models,Quarante tour dernier franchir.,True
153,Reinvent next-generation convergence,Quant À de surveiller y bas maintenant.,False
154,Monetize clicks-and-mortar mindshare,Cuisine visible somme vous plaire plein.,False
155,Engage web-enabled e-markets,Soldat rejoindre rassurer juste notre silence colère.,False
156,Disintermediate plug-and-play eyeballs,Oeil gauche sortir respect obéir saint clair.,True
157,Synthesize integrated info-mediaries,Chaîne étouffer quarante jambe seul tandis que ceci.,True
158,Envisioneer integrated portals,Projet plutôt assister bataille.,True
159,Cultivate magnetic info-mediaries,Pierre succès semblable comment cesser comment.,True
160,Cultivate distributed mindshare,Voix nombreux voile livre complètement distance subir naturellement.,False
161,Transition dynamic partnerships,Cercle saluer dessus satisfaire circonstance de repas fou.,False
162,Transform intuitive infrastructures,Choix cerveau avis père obtenir plutôt.,True
163,Redefine frictionless paradigms,Mort chute énergie possible vin déchirer entretenir.,True
164,Architect scalable infrastructures,Envelopper très pouvoir marier.,True
165,Iterate frictionless experiences,Oser sentir penser fine inviter rêver vous.,True
166,Reinvent enterprise info-mediaries,Peine état nourrir ton.,False
167,Harness distributed deliverables,Salut droite jambe placer santé.,False
168,Orchestrate mission-critical platforms,Gauche herbe accord leur.,True
169,Mesh next-generation e-markets,Résoudre sol fait type naissance.,False
170,Implement seamless initiatives,Pénétrer violent trait rôle savoir branche.,True
171,Re-intermediate rich mindshare,Figurer respirer art moyen résultat sac crainte.,False
172,Repurpose clicks-and-mortar mindshare,Respect son présent plaire chaîne poche particulier.,False
173,Unleash viral eyeballs,Scène mari faim former coeur préparer diriger coin.,True
174,Mesh cross-platform e-business,Accrocher franc paysage parler rompre poésie dès.,False
175,Matrix wireless metrics,Drôle complet nuit soulever.,True
176,Revolutionize end-to-end metrics,Mur problème voilà rouler faute.,False
177,Grow innovative channels,Seconde mari certain présent pièce.,True
178,Engage customized eyeballs,Non tempête beaux trait.,False
179,Synthesize out-of-the-box networks,Cacher livre geste lourd ce soudain.,False
180,Visualize collaborative paradigms,Seconde pauvre plein tenir perdu ensuite secours.,False
181,Redefine integrated solutions,Plutôt herbe hier science précieux.,False
182,Maximize bricks-and-clicks channels,Suite le résistance projet.,True
183,Embrace one-to-one applications,Emmener premier élément fonction.,True
184,Strategize impactful portals,Annoncer dehors plein.,True
185,Whiteboard robust bandwidth,Perte tandis que agir.,True
186,Re-contextualize proactive mindshare,Voler cent conseil simple cour.,True
187,Revolutionize world-class web-readiness,Seul français oncle danger cinquante éclater santé.,False
188,Aggregate e-business niches,Million désespoir frapper suite.,False
189,Target revolutionary markets,Loin force perte nul.,True
190,Enhance dot-com action-items,Dégager assister robe éclairer terrible.,False
191,Engage sticky bandwidth,Jeune ceci curiosité bête justice rouge marier habiter.,True
192,Cultivate cross-media schemas,Terrain lutter avant courage rejeter tant.,True
193,Innovate sticky schemas,Demander rond autre voile suite.,True
194,Re-contextualize extensible niches,Suite calmer cesse autant croire veiller.,True
195,Embrace compelling e-services,Chair classe menacer tirer trace son.,True
196,Target next-generation technologies,Beau vie effacer bête tenir quel sauver.,True
197,Re-contextualize user-centric vortals,Oeuvre fête demain mariage.,False
198,Re-contextualize best-of-breed networks,Lieu ennemi vague retirer certes fois expression faveur.,False
199,Incubate bleeding-edge action-items,Vide admettre beauté lettre.,False
200,Embrace revolutionary markets,Plutôt maison en fixe contenir social reculer.,False
201,Benchmark wireless convergence,Votre question absolument paquet.,False
202,Drive b2c supply-chains,Pourtant figurer réunir soumettre bataille trésor faveur est.,True
203,Mesh mission-critical content,Chair flot user grâce votre rêve classe.,False
204,Synergize magnetic initiatives,Situation suite parler arrivée signe.,True
205,Maximize transparent systems,Boire raison machine renoncer remonter sourire élément.,False
206,Embrace rich convergence,Ennemi exposer annoncer vieil arrêter être sentiment.,True
207,Scale 24/7 e-business,Intérieur coup profiter pénétrer cercle engager envelopper.,True
208,E-enable cutting-edge architectures,Puissant en emmener désigner saisir.,True
209,Morph rich platforms,Paraître ici lien drame malade.,True
210,Syndicate open-source web services,Tourner faute joindre deviner devant espérer vif.,True
211,Exploit distributed applications,Vérité nous relation fixe réalité tête.,True
